subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_style_dim8,z_style_dim9,z_style_dim10,z_style_dim11,z_style_dim12,z_style_dim13,z_style_dim14,z_style_dim15,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_skill_dim16,z_skill_dim17,z_skill_dim18,z_skill_dim19,z_skill_dim20,z_skill_dim21,z_skill_dim22,z_skill_dim23,z_skill_dim24,z_skill_dim25,z_skill_dim26,z_skill_dim27,z_skill_dim28,z_skill_dim29,z_skill_dim30,z_skill_dim31,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31,z_primitive_dim32,z_primitive_dim33,z_primitive_dim34,z_primitive_dim35,z_primitive_dim36,z_primitive_dim37,z_primitive_dim38,z_primitive_dim39,z_primitive_dim40,z_primitive_dim41,z_primitive_dim42,z_primitive_dim43,z_primitive_dim44,z_primitive_dim45,z_primitive_dim46,z_primitive_dim47,z_primitive_dim48,z_primitive_dim49,z_primitive_dim50,z_primitive_dim51,z_primitive_dim52,z_primitive_dim53,z_primitive_dim54,z_primitive_dim55,z_primitive_dim56,z_primitive_dim57,z_primitive_dim58,z_primitive_dim59,z_primitive_dim60,z_primitive_dim61,z_primitive_dim62,z_primitive_dim63
s.tahara,0,0,-1.4379249,0.598742,0.48413512,-0.10693215,0.6217788,-0.6066343,-0.61739874,-2.162507,-0.3260684,0.29760364,-0.42452776,0.12577225,1.419785,-1.141646,0.31586653,0.121439785,0.096844964,0.17905574,-0.8459878,-0.4851684,-0.45699042,-0.9376266,-0.6492831,-0.44386032,0.0045561343,-2.5735536,0.6986913,1.262707,-1.311561,0.61780626,1.3277779,-1.2338215,0.47390187,0.28584313,0.5087517,-1.8855772,-1.919615,0.4924351,-0.15321368,-1.0580494,0.16163546,0.98428434,-1.1688384,0.044333205,-0.22220694,-1.5866034,0.339387,0.4326682,0.75277466,0.17098342,-0.3116236,0.02670649,0.14605331,-0.35821116,0.0683992,0.042835377,-0.3190209,0.30280557,-0.124531046,-0.2501285,0.33418217,0.06519903,-0.06120464,0.112067856,0.5405473,-0.045165442,0.19889417,0.057543393,0.33574048,0.1122981,0.10891094,-0.070112176,0.23165138,-0.5705035,0.30952027,-0.52582556,0.1939057,-0.71958196,0.56138027,0.15020627,0.5524416,-0.42477122,0.4699766,-0.2976536,0.12780002,-0.85608417,0.8360414,-0.5286509,-0.2171415,-0.0076960176,-0.23791341,0.1175286,-0.16963866,-0.02431865,-0.057356052,0.033365723,0.37278813,-0.16330805,0.632856,0.081174016,0.1506184,-0.7518905,-0.4840216,0.20354941,0.0072462256,0.05958023,0.03978903,0.2915572,-0.55707747,-0.24515307,0.1726952,0.5168782
s.tahara,0,0,0.6058343,1.6099536,1.0436683,0.6289927,0.54220366,0.995216,0.08085005,1.9883865,2.3039446,-0.7082371,0.21600091,0.113872394,0.6356203,1.1950047,-0.92520857,0.981836,0.38653117,0.73387647,-0.8198481,0.72617424,-0.84796816,-0.2990264,0.5145372,-0.6925109,0.12524791,0.09122385,-0.7642412,1.19702,0.74928,1.8018957,0.103494145,0.2685234,-0.022507764,0.80224085,-0.90036744,1.0485953,0.8270951,-0.7283063,0.36295754,0.43356794,-0.5004954,-0.6653798,-0.6925275,-0.758018,0.7705529,2.2894685,-1.5720475,-2.319314,-0.24074017,-0.34240848,-0.20726249,-0.7604809,-0.25523415,-0.08602979,0.30861816,-0.5185734,0.22427922,0.6101756,-0.59532636,0.18678959,0.44790116,0.32271063,0.112786144,0.09345576,-0.40671936,-0.22609708,0.523099,-0.11630718,-0.48429206,-0.53228605,-0.16132987,-0.13225554,0.26098195,0.35316992,0.25619972,-0.19622272,0.2903108,0.60855293,0.0155372005,0.011672315,-0.13860136,0.020297484,-0.4252881,0.1844851,0.078309946,-0.12513006,0.17828967,0.11723551,0.032545883,0.040486842,-0.53745335,-0.29640195,0.18221569,-0.53497326,0.35556522,0.39953905,0.3579553,-0.6407652,0.36008316,-0.028522026,-0.1831834,-0.18662524,-0.25770795,0.060008913,-0.33884758,0.36510175,0.5697827,0.4005888,0.47587538,0.35045373,-0.6437989,0.25093254
s.tahara,0,0,-0.35864076,-0.49040672,0.94950813,-0.22938405,-0.56357074,0.8476272,-1.5756489,-0.23907802,1.4065773,1.9655701,-0.98455745,1.1943654,0.48184922,-0.38517076,-0.03627815,0.5712858,0.3644408,-0.18687889,-0.12458964,-0.7897422,-0.7480794,-1.4489409,0.49369997,0.42334723,-0.8229944,-1.25792,-0.29782826,-0.7914388,0.5874896,-0.09179725,1.2263399,0.48541692,-0.33114737,1.701747,1.771048,-0.13192739,0.7635933,-0.5319338,0.23319581,-0.7469057,-1.250007,0.8411232,0.096657634,-2.2054217,0.4082357,0.8056952,-0.0025595874,1.1146896,0.29132852,-0.14659551,-0.32523865,0.3520374,-0.44806132,-0.2394721,0.31380105,-0.09408415,0.9451721,-0.2134556,0.14921103,-0.18693371,0.046576474,-0.68060035,0.103260905,0.37717596,-0.2158267,-0.1011437,0.11079303,0.5364705,0.7369573,0.03183257,0.14247987,-0.09628181,0.03191214,0.19240592,-0.0057386504,0.03536579,0.3271875,0.1794454,0.2932149,-0.28357208,-0.20484981,-0.49528587,0.56457686,-0.16727757,0.3900129,0.50469184,-0.29933396,-0.05132622,-0.4767136,-0.058222897,-0.3305438,-0.45167702,0.34563142,-0.10118128,0.05870634,-0.118705936,0.15665808,-0.5591822,-0.2833968,-0.9054641,0.6285516,0.8910502,0.18660003,-0.64681715,0.20459631,0.13689084,-0.17429239,0.07035174,-0.8554133,-0.17886801,-0.01463283,0.4945255
t.hasegawa,1,0,-0.7275695,-1.2965075,0.14119503,-1.2311069,1.1730838,2.1091955,-1.3374106,0.0691439,0.68469614,-0.61041117,1.123341,-0.41854933,-0.51082426,0.06664964,-0.3725218,0.67230815,-0.289439,0.031883053,0.42659223,0.4291728,0.5468354,0.7077546,0.5896958,0.5727342,-0.54056823,1.8265841,0.35722995,0.74510384,0.0588002,-0.6808879,-0.07787216,0.2912192,-0.44429636,1.0401286,0.3325178,0.18664111,0.14825635,0.1926938,0.45770457,0.036666878,-0.08947091,-0.9061334,0.29064304,-0.7806328,0.9806622,-0.8554132,-0.3252444,1.2481172,-0.0024653375,0.25636235,-0.015656881,-0.47912934,0.1276229,-0.49120528,0.68458676,0.04302283,0.27622238,-0.39581499,0.22567387,-0.1653352,0.09597948,-0.031325378,-0.7738379,-0.08176929,0.057537936,0.68594795,0.6346131,0.041097693,0.019522257,0.07246789,0.6533509,0.49636623,0.47085056,0.06723867,1.3199736,0.29119438,-0.17598158,-0.16938376,-0.4228322,-0.12355998,-0.46451685,0.68734837,0.5789744,-0.28719333,-0.15778293,-0.021850586,-0.037295848,0.4141989,0.060495835,0.06686064,-0.35686255,-0.26733568,-0.2777813,-0.2377555,-0.19332337,0.16946681,-0.8255477,-0.12105155,-0.2799963,-0.5548929,0.56427217,-0.111995235,-0.18827556,-0.3719794,0.34462008,0.12261381,-0.0148149375,-0.24159071,-0.28448108,0.1828409,-0.43637517,0.23356527
t.hasegawa,1,0,0.40289208,-0.8567169,-0.03939919,-1.2701473,-0.6253744,-0.81310844,-0.5442897,0.19907531,-1.2189883,1.4939768,-0.4887527,-0.16629481,0.7012828,2.1914735,-0.0837039,-1.0816549,-0.22505674,0.21916741,0.9495541,-1.3824764,-0.4949196,0.32193932,-0.7425264,-1.2948309,0.5980681,-0.17553169,0.8658106,1.765965,-0.73404515,-0.45108327,-0.43513474,1.9376794,-1.8731648,-1.465175,-0.6421525,-1.8036602,-1.564101,0.7696883,1.6510329,0.8297057,-0.40387392,0.7094673,-0.30242708,0.3976386,-0.3422386,-0.025707081,-0.020044178,-0.88281363,0.43802917,0.11930892,0.20992485,0.415133,-0.07842043,0.38517767,0.45498276,0.47433406,0.11886273,0.7654159,0.44056752,-0.70070994,-0.42772838,0.7973926,-0.6629828,0.6275308,-0.76175267,-0.12553386,0.5859071,0.29777163,-0.4330783,0.24883021,-0.33532998,0.036660623,0.2544931,0.102335185,-0.3551574,0.41535395,-0.5870554,-0.60283047,0.19728646,0.49968624,0.10795775,0.34638292,-0.04900886,0.3223199,0.0020749494,0.41971922,0.07921188,0.117441565,-0.22267279,0.5633747,-0.20444398,0.9274188,0.38907605,0.36470017,0.21957783,-0.08504658,-0.0749734,-0.014635112,-0.20429552,-0.3775008,-0.85553056,-0.4998945,-0.33159828,-0.34868997,-0.17871614,0.6441554,0.3817901,0.47442102,-0.36047834,0.05312083,-0.054037973,-0.37494636
t.hasegawa,1,0,-0.02368764,0.63997227,0.9245813,-2.7785175,1.1443307,-0.04580523,-1.5447705,0.3158068,-0.75205326,0.9378531,-0.40555733,-1.5183364,0.3067934,1.2010871,0.7004322,0.31064704,-1.9603972,-2.5270169,-0.036102597,2.2812617,-0.1996404,1.3329244,0.28641438,0.5432112,0.05739428,0.7092676,-0.3638534,-1.9063364,-0.7421705,-0.32387286,-0.025727168,0.14884873,0.5594043,0.29507807,0.30786166,-0.29196405,1.1802831,0.5428813,-0.30384296,0.4267097,-1.6493068,0.5825847,0.80044,0.097602315,0.04067775,-0.97624755,0.8979975,-0.045542546,-0.2073177,0.9018936,-0.20144828,0.25577775,-0.06083127,-0.3902334,-0.3828446,-0.10884206,0.1629696,0.1423749,-0.05432582,-0.48865646,0.27681014,0.09646192,0.3628515,-0.31591114,-0.054150205,-0.81929916,-0.13856047,-0.31885442,-0.16804741,0.056798153,0.4217231,0.00036895648,-0.31822762,0.88647956,-0.3757626,0.23758331,0.3056292,-0.1240751,-0.2708444,0.24354063,0.3148267,-0.28390694,-0.09849663,0.08299789,-0.06485228,-0.088333964,0.23873629,-0.39203095,0.041795876,-0.20443156,-0.15044855,-0.65421534,-0.2285086,-0.082270086,-0.08382951,-0.23439088,0.15670873,-0.5246561,0.41451612,-0.32551417,-0.24586147,-0.19800594,0.21678974,0.42588466,-0.10391175,-0.1573568,0.34473717,0.15186402,0.446312,-0.46413684,0.13645491,-0.49725387
r.yanase,1,0,-0.45397717,1.0319253,0.7280803,0.52880114,-0.15471585,-0.94078004,-0.05532289,-1.5913223,1.1500981,0.34287015,1.5298766,0.32175362,-1.4894477,1.7534807,0.17722912,0.7476275,-0.38817722,-1.400944,-1.7081385,0.6691025,-0.23279697,0.44677752,0.070257485,0.42893124,-1.7893603,-0.48961526,-0.9152028,-0.81368387,-0.12100424,-0.21563081,0.110057466,0.004136648,-2.208698,0.3362954,-0.28860563,0.6351497,-0.6887606,1.2421598,0.42301053,1.1204299,-0.79041576,0.24690919,0.17189994,0.817125,0.7569513,-1.9353329,0.063594714,0.96523666,-0.18987007,0.21792895,-0.59759784,0.44759962,0.33486256,-0.049084187,-0.31215742,0.3839027,0.29476738,0.01143964,0.24881026,-0.13511924,-0.101543315,-0.16853787,-0.18083107,0.1714035,-0.4787756,0.13188237,0.20804913,0.21427354,-0.1556761,0.40258572,0.39576623,0.35433787,0.3702345,-0.73816395,0.048959203,-0.15187979,0.56220263,0.0117233135,0.24949741,-0.553807,0.40958738,0.009493206,0.005945258,0.8819988,-0.3523859,0.46073434,-0.14824758,0.3503736,-0.38177815,0.86230236,0.007312812,-0.7065022,-0.92012435,0.25196362,-0.24125682,0.34159884,0.14187618,0.6233448,0.39939725,0.08298342,-0.33652315,-0.18090227,0.35734776,-0.37085164,0.12686568,0.043406993,0.000121308025,-0.19794165,0.69420165,0.2864366,-0.16407502,0.24546637
r.yanase,1,0,-0.18114889,0.4502646,1.3192868,-0.5400917,0.45384395,-1.3072851,-1.1886835,-0.65238535,-0.2941119,1.4134108,0.07476885,-0.74876606,-0.25524297,1.0185243,0.6894784,-0.2299173,0.21997648,0.032739654,-0.8744638,0.37887996,-1.9421253,0.57488316,0.8721265,0.5823356,-0.46070203,1.4821311,0.7156199,1.2507975,-0.5970146,0.91692394,0.49636412,-1.2581289,0.68302596,-0.53112876,-0.09020508,-0.808851,-0.18494971,-0.15594867,-0.3735448,-1.1721041,-0.015203007,1.1843826,0.77609843,0.11093612,-1.0929838,-0.5327442,-0.11900675,-0.3132089,-0.107879326,-0.0062679797,0.06909759,-0.32769465,-0.45704532,0.25018507,0.041540034,-0.24455313,-0.10627402,-0.13219376,-0.5966934,0.40059933,-0.19738474,0.45945692,-0.10187121,-0.2160977,-0.31600538,0.19156796,-0.4241429,0.22030298,0.12787369,-0.7324084,0.376326,-0.2207063,0.14375147,-0.22340986,-0.012338605,0.027509538,-0.17381604,-0.27601355,-0.094268456,0.2328303,-0.13824773,-0.006241046,0.27625194,0.5777677,-0.2296429,-0.032723017,-0.40573326,0.43560296,0.81849134,-0.1668427,-0.0007905802,-0.0131943105,0.32428923,-0.5278387,-0.19693062,0.34580386,-0.46468604,-0.61645794,-0.15637602,-0.21198772,-0.22788319,0.03255427,-0.09754615,0.09226577,-0.115803234,0.42309684,-0.30189767,-0.2627627,0.40257335,-0.25651056,-0.06855689,0.11883739
t.hasegawa,1,0,2.141806,0.468951,0.20069507,-0.4703399,1.1428947,0.5375759,-0.24585469,-1.2083578,-0.36256918,1.8971612,1.0132068,-1.6496017,1.2473112,0.6105589,-0.45402032,-1.0860986,-0.6577253,1.5531656,-0.6505056,-0.15613142,-1.3720207,0.7451346,-0.736875,-1.1982381,0.12583935,-1.3285911,-0.6938137,0.3880242,0.36263478,0.190592,-2.3404422,-0.07673783,0.043044522,-0.7599118,1.7438738,-0.8394209,-0.30648887,-0.973527,0.16078484,0.25535923,0.5836088,0.6096061,-0.52942353,-0.18421933,0.7690362,0.783653,2.6766074,-1.5173763,-0.6410062,0.90602726,-0.78684366,-0.2958321,-0.08422684,0.4713586,0.41808274,0.30735362,0.077237315,0.12531453,0.4468244,-0.059810285,0.445051,-0.62841153,-0.55809,-0.05463032,-0.16305721,0.13250361,-0.30494896,0.041653987,0.10187322,0.347502,-0.30302557,0.13918236,-0.30125052,-0.095146306,0.5958938,-0.18353646,-0.42687792,-0.32955068,0.03058194,0.027996648,-0.20890698,0.28433967,0.3139199,0.4472261,0.07732364,-0.3388976,-0.663278,0.31407785,0.067316845,0.63888824,-0.5543297,0.3744596,-0.35230678,-0.09270183,-0.48051277,0.5935653,-0.01032603,0.6117996,-0.16590318,-0.519964,0.07596275,-0.5860536,0.41456228,0.12242429,-0.14767002,0.050968975,-0.09257256,-0.1208769,0.46643463,0.4162881,-0.033438966,0.32054222
s.tahara,0,0,-0.0449917,1.5545483,0.04251765,-0.93648005,0.40219662,2.1070278,0.20396191,-0.5081614,1.0948133,1.4122301,1.8205118,0.37563884,-0.19069204,0.16401562,1.6598141,0.63873655,0.8109485,0.12466021,0.09176504,0.963186,0.9631012,1.2771778,-0.18975437,-0.7925814,-0.2896282,-0.7276802,1.1597546,-0.15511549,-1.7578393,-0.42971927,-0.96326834,1.3139927,0.9789807,-0.5824452,0.47536772,0.8144875,0.19450778,-0.27395922,0.70042944,-1.3289919,1.1533717,0.55850184,-0.77973914,0.040881656,-0.69005615,0.9251086,2.3289847,0.057725586,-0.087184615,0.27732316,-0.21192181,-0.24597569,-0.62131107,-0.09163197,0.38611034,0.0048089586,0.46240678,-0.4297614,0.3712703,-0.32974708,0.06874235,0.40077016,-0.012970875,-0.04071123,0.40209535,-0.29294848,0.031475894,-0.1286434,0.43303627,-0.047568772,0.3881408,-0.06966163,-0.09809445,0.054011963,0.14239176,-0.44803283,0.16892415,1.1565474,0.06700019,0.24428068,0.43541294,0.077075996,0.25247353,-0.22948861,-0.38679072,-0.11030815,-0.64705724,0.4920291,-0.18036997,0.46837187,0.89419085,0.2099343,-0.15390725,0.05183446,-0.21838522,-0.2954375,-0.29151666,0.036087856,-0.14535591,-0.3731248,0.3427447,0.14710018,-0.17847012,-0.29541627,-0.1662307,0.28988236,-0.14272152,-0.05544131,0.24283732,-0.08126341,-0.24108654,-0.05339093
