subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,-0.7119127,-2.7875152,1.542777,-1.6210744,-0.15732604,0.45525438,-1.7181934,-1.059587,1.2484934,-0.91166925,-0.5268525,0.3291846,0.47576946,0.85507673,0.8567648,-1.2692426,-0.99165595,-1.4885104,0.42245677,0.8434815,-0.44966623,-0.2071392,-1.2284718,-0.13980648,-0.054620422,-0.3066436,0.102675185,-0.17298178,0.17640465,-0.3332291,-0.20992664,-0.4496014,0.100003585,-0.9734958,0.102416754,0.5034261,-0.56254375,0.7623426,0.7500261,0.08772907,-0.6810449,-0.6008767,-0.29674584,0.18848254,0.088447995,0.51631737,0.057575375,0.07505919,-0.59973,0.0653735,-0.46533397,-0.27961248,-0.21940348,0.36211032,0.2727219,-0.12714967
h.nakamura,1,0,0.29301006,-1.1654764,-0.7388993,1.5519773,-0.99593747,0.37493256,-0.8224936,0.16934302,0.69134635,0.012494892,-0.62366,-0.8286587,-0.16873851,-1.1347383,-0.27816114,-1.4921381,1.6480677,0.59133387,0.06653464,-0.8827778,-0.6378609,1.5756166,1.0316272,-0.45341888,0.20063512,-0.063235715,0.808342,-0.0384264,-0.16111438,-0.049393967,-0.41951203,0.12691322,0.19549921,-0.5354479,-0.49083138,-0.6077934,-0.37982517,-0.036241043,0.22717836,-0.10828438,-0.57533795,0.57843757,-0.2495248,0.048494674,-0.077995166,0.19073343,-0.6412897,-0.15726723,-0.4266485,-0.98192257,-0.013255599,0.47635168,0.10292612,0.07813127,-0.019465836,0.22609124
h.nakamura,1,0,1.3432451,2.3398209,0.08063798,-0.34989846,0.5310819,1.5583653,-0.7703413,1.8463933,-0.30046275,-0.21199907,1.1929868,0.2132239,2.1966636,0.30572203,-1.4460577,1.6653097,-1.8332354,-1.6316807,1.4098461,0.6069592,0.62128067,-0.86235887,0.62781787,-0.079296134,-0.38917103,-0.16485426,0.41811904,-0.32351363,0.20857108,-0.08268277,-0.1462401,0.08180174,-0.22143462,-0.0533617,0.32419553,0.08858631,0.36784822,-0.515539,0.08750049,-0.52837163,-0.37714976,0.37607154,0.13880312,-0.6026656,-0.2912376,-0.18085358,-0.32322925,0.32857668,0.24304092,0.16765374,-0.6153437,-0.14783978,0.5541804,-0.58693683,-0.37481302,-0.40651098
h.nakamura,1,0,1.7669334,-0.6337113,0.6395262,-0.5080162,-1.8332009,-1.0635647,0.28168106,1.0002378,-1.55963,0.017793998,-0.3860034,-0.780959,-0.5614333,0.109464616,-2.0118344,-0.1872199,-0.019453257,0.07191537,-0.66726315,1.3420551,0.2540227,1.1525218,0.9744681,-1.5928624,0.4117043,-0.13860941,0.088174194,-0.111766726,-0.84960824,-0.10619797,-0.63874555,-0.73634917,0.8334148,-0.5969336,0.09674164,-0.15422708,-0.64338875,-0.591168,-0.4390257,-0.39060348,-0.21863964,-0.39538094,0.10992047,0.5923549,0.12661844,-0.27476123,0.16146177,0.3996299,-0.70100176,0.4504866,-1.096192,0.103426635,-0.22892955,-0.28479284,-0.53099126,0.09641726
h.nakamura,1,0,-0.26673338,0.049323604,0.12910043,2.1260564,1.3935888,-1.0180929,0.8743713,0.07595768,-0.63055366,1.2583477,1.1006627,2.6515682,0.54555327,0.66236573,0.7970135,2.196103,-0.2564362,1.3198382,1.3780686,1.3615396,0.93679106,0.8044279,-0.5855135,-0.12492356,1.233494,0.1695212,-0.12982383,-0.106170714,-0.3827899,0.49602965,-0.44458383,0.25726533,0.53721136,-0.62343216,0.42624906,-0.29833812,-0.0013536066,0.19374186,0.4083261,-0.53660715,-0.46922815,-0.06907335,-0.8128494,-0.25778827,-0.14194047,0.38916165,-0.6082661,-0.0862215,-0.15834962,0.32660392,-0.12710604,0.22023755,0.13477106,0.1431044,0.1447744,0.21410662
h.nakamura,1,0,0.21694043,-0.77627856,-0.25522307,0.35239264,-0.40173596,0.7502231,0.89108086,-0.21426971,0.62787086,-0.6741786,-1.2449718,-0.24408019,-0.35019714,1.3576336,-0.6990838,1.1307832,0.74822575,0.19218525,-0.5210416,-0.9782273,-1.8492426,-1.3446987,-1.2832937,-0.09379361,-0.5581778,-0.1556501,0.027761102,-0.6611559,0.4279117,0.09769804,-0.5095986,-0.7821716,0.5206039,-0.27132982,-0.17406513,-0.29204407,-0.2987153,-0.2679148,-0.1559717,-0.025058635,-0.29008478,0.6376301,-0.1501756,0.44924384,-0.18952368,0.6778817,0.9058869,0.4354383,-0.11314144,0.08248641,-0.33795607,0.1535362,0.04288739,0.24233831,0.14446706,-0.08615284
h.nakamura,1,0,0.2156152,0.6714014,-0.5334153,2.0150328,0.30708593,0.14098114,1.1750474,-1.9014726,-0.17215787,-0.6186884,-0.90508336,0.853611,-0.36423382,-1.0804484,0.4002818,-0.53959686,-1.2006092,0.75705135,-1.3438807,1.1935452,-0.11407772,-0.09770179,-0.97007686,-0.1771116,0.5667167,-0.18629873,0.72445565,-0.6242084,0.04372983,-0.073080525,-0.9282048,0.06697014,-0.4905339,0.066134185,0.1584301,0.14520565,-0.96404266,0.051145907,-0.3558724,-0.2797613,-0.076435275,0.5780276,-0.39545655,-0.19214539,-0.8279295,-0.36593962,0.3527756,0.9845806,-0.57902837,-0.0939586,0.08069119,0.06988537,-0.10338019,-0.35074812,-0.26375842,-0.10109005
h.nakamura,1,0,0.6081669,-0.2038495,0.0036391094,-0.2474086,-0.95297384,0.11996911,2.4481776,0.013555214,0.07468933,1.4381665,2.1324012,-0.24913886,-0.5107886,0.15721253,1.2268407,-0.8513372,-1.4839795,0.34840974,-0.5480821,-0.31563085,1.1043606,-0.467379,2.0165436,-0.11660984,-0.26991892,0.32260346,-0.42133757,-0.18547042,-0.2823239,-0.90413463,-0.07339812,-0.019556612,0.32250676,-0.27088857,-0.0025060535,0.32310557,0.546026,0.039042372,0.17431216,-0.6289332,-0.0061443783,-0.27564663,-0.2321246,0.13326198,0.3770157,0.4384198,1.011868,-0.3012985,-0.29606098,0.19391042,0.599302,0.19272763,-0.25895166,-0.037736543,1.1058398,-0.42554057
h.nakamura,1,0,-0.5792461,-1.2207003,-1.4318063,-0.4004856,0.41988772,0.5140186,1.2434379,-0.9296094,0.6296078,-0.53507733,0.016865373,-1.4366293,-0.6455684,-0.6980244,1.8899608,0.3164717,2.4200547,-1.1163862,0.9124478,-0.77751625,-1.0854739,0.7645361,1.282618,0.24089694,0.35079744,0.073736444,-0.36771238,0.07056621,-0.7483747,-0.10520461,0.31383505,-0.5235784,-0.17644528,-0.38304496,-0.24554743,0.15482122,0.08020207,0.7803011,0.39443102,-0.5301518,0.29090053,-0.3050121,-0.062558666,-0.25712472,0.22567107,0.83309066,0.36432508,0.13929796,0.4818677,0.7120888,0.2534564,0.049338847,-0.44227016,0.54422605,0.21135047,0.06987998
h.nakamura,1,0,0.29255077,0.27077046,-1.7365106,-1.0906516,-0.54726624,-0.26956174,-0.88585615,1.0187247,0.783592,-0.5326679,-0.23115417,-1.395016,-0.9323752,-0.4105937,1.1458203,-0.30707845,0.6541772,0.8747057,0.67759705,0.16197346,-0.31317672,-0.34958455,-0.30201244,0.94715136,0.33142924,-0.10587956,-0.44475573,-0.43516272,0.073128514,-0.4779752,-0.94424826,-0.6061781,-0.026286632,-1.1564387,-0.13316295,0.5203636,-0.2622182,0.015221603,-0.39712042,0.14667815,0.03269232,0.32469663,-0.36036533,0.61318374,-0.028208852,-0.39852083,-0.053713754,0.7468482,0.11689337,0.7289451,-0.2989845,-0.54359025,-0.51635265,0.71522915,0.04677614,0.107825026
