subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,-1.1535164,-1.2843039,-2.2695413,0.914978,2.1903071,-0.43556744,1.2349082,-0.7603356,-1.494448,1.0222707,-1.5335903,-0.27258012,-0.16135517,0.6603777,-1.5792545,0.60789114,0.8930309,0.9228749,0.7905756,-0.5778774,-0.3291896,1.6489149,0.1421015,1.0655907,-0.38449842,-0.227489,-0.22624126,0.64469004,0.52284086,0.6576307,-1.4112759,0.50742155,0.03652277,-0.0109313205,-0.09469461,0.04678031,-0.32275233,0.8306799,-0.3465491,0.28065643,0.5687154,-0.39810306,0.30547944,-0.85359603,0.48449022,-0.13462272,0.5876284,-0.4697619,-0.4012153,-0.3264013,-0.57753456,0.3220928,0.05989948,1.0711093,0.04430401,0.3142142
h.nakamura,1,0,-0.3053409,-1.1596037,0.07743088,0.91084915,-0.58331317,-0.13881415,0.42908362,-0.71440697,0.019079179,-0.18990685,1.7672664,-2.2619348,-0.31457904,-0.4264083,0.18377763,0.44174987,-1.0314927,0.60758805,0.3440541,-0.4388847,-0.7396176,0.0743699,1.9807057,0.2183007,0.06689395,-0.30262595,0.119127005,0.58226615,0.07344183,0.46479318,-0.57608026,-0.1373964,0.48133823,-0.2718984,0.051278166,0.24332252,-0.006428607,0.44350314,-0.43995276,-0.017203275,0.09371275,-0.28387222,0.5983763,0.09497628,-0.7925296,0.02338688,-0.5032202,-0.3368568,-0.06382394,-0.0735064,-0.27982137,0.31177515,-0.08636374,-0.9211421,-0.17092688,0.02712357
h.nakamura,1,0,0.5275897,-0.26499805,-0.8701681,1.0171899,-0.6008639,0.85316116,0.9568924,-0.085801885,0.7991409,-0.59481835,0.32053006,-1.1520443,-0.0068866313,-1.3456876,-1.3308048,-1.0933685,-1.1958168,0.030734837,0.34396762,0.068788804,1.145628,-0.57576084,-0.701856,-0.6893692,0.041601345,-0.257089,-0.009166986,0.40066293,0.69454604,0.47874278,0.23637843,0.24693593,0.6093029,-0.09036886,0.09534171,0.07956933,-0.22172858,-0.41776738,-0.2613531,-0.29515058,-0.15113623,0.21361357,0.32205427,-0.1345107,0.4714262,-0.31743205,0.722971,-0.12721476,-0.048705637,-0.53412837,-0.8825418,0.011487588,0.494169,-0.42075688,-0.80109686,-0.06797379
h.nakamura,1,0,0.71147794,-0.14291374,-0.6213564,-0.11888628,-1.1661184,0.5880121,-0.5269095,-0.38010907,0.52972037,0.49752507,-0.95477235,0.9573385,0.7289959,0.5453437,-1.1976053,-0.43602312,0.9968895,0.71987236,-0.036501653,1.297596,0.13590789,0.4911608,-1.5064671,2.189152,-0.1836812,-0.255383,-0.05647807,0.55150163,0.0084557235,0.7832699,-0.17183891,0.36950412,0.5028491,0.10214628,-0.02879136,0.02022782,-0.09524179,-0.22340623,-0.40227023,-0.57662576,-0.70448416,0.13944061,-0.12333408,0.114259474,-0.12426198,0.15266658,0.3924719,0.039339617,-0.52445143,-0.53549653,-0.51563096,0.5485446,-0.61152744,-0.29986268,-0.11486086,-0.7640728
h.nakamura,1,0,0.12626454,-0.09637682,0.13374797,0.62433904,0.30421168,-2.062134,0.75961435,-1.708261,0.4773818,-0.7858117,-0.27605507,-0.9293464,-2.0443203,-2.6180954,-0.25835007,-0.47754204,-1.3080448,1.3060368,-0.42083788,0.8324934,1.439487,1.1642507,1.0213188,-0.2179257,-0.40460855,0.5908936,0.19187197,0.5168462,0.8673353,0.22995502,-0.1951966,-0.41639012,0.32247376,-0.60103285,0.17970037,-0.3084084,-0.8118981,0.39255244,-0.2941444,0.16431259,0.4562841,0.16497031,-0.3225974,-0.27958435,-0.17850307,-0.01846236,0.5046735,-0.16443527,0.06256587,-0.5847391,0.106797665,0.44527683,0.2911354,0.26934463,0.21015614,0.16824156
h.nakamura,1,0,1.0501019,-0.88300115,1.6699182,-1.392541,0.48755288,1.4541358,-0.9271475,-0.10623096,0.46044528,-0.04184471,-0.6870796,0.7198485,-1.2615683,-0.49224824,-0.5012638,1.2587221,0.14902857,-0.22512141,0.01297953,0.45053992,0.77036834,1.124542,2.2628274,0.21142966,0.66798323,-0.16091508,-0.301841,0.13081062,0.13042803,0.18291454,0.11508183,-0.12058918,0.44637448,-0.25643378,0.94168943,-0.7149152,-0.5411923,0.09066415,-0.31536064,-0.17605808,-0.64586294,-0.104484245,0.07393527,0.1701945,0.18581738,-0.17009224,0.23734808,-0.2459277,0.3139956,-0.49136528,-0.015981495,0.13858521,0.3579966,-0.054807276,0.43424207,-0.28510696
h.nakamura,1,0,0.63944554,2.2704988,1.0603057,-0.4481984,0.10417787,1.3576572,0.98658013,0.6860622,0.16178177,-1.8392116,0.8702179,0.62173116,0.8267699,0.6759055,-0.8855869,-1.8777777,-1.100299,-0.2979616,-0.3453298,-0.6612006,0.95179594,0.7940512,-0.7312521,0.89142,-0.48550874,0.36263317,0.54082906,0.049307972,-0.18197465,0.282141,-0.8802267,-0.81733406,0.2488219,0.06845373,0.17469168,0.09860742,-0.052611757,0.27185363,-0.28517276,0.024032757,0.1792602,0.6387,-0.4867834,-0.09778863,0.20155603,0.18803537,0.844269,-0.6134809,0.17627594,-0.5012698,-0.74476415,0.16793011,0.6738315,-0.06100685,-0.6398917,0.1843719
h.nakamura,1,0,-0.4792808,1.0876766,0.52491474,-0.566813,0.24753654,0.7836207,-0.06122318,0.78785986,0.21840662,1.8638847,0.12476079,1.5075521,1.2693286,-0.12274888,-1.0329975,0.43673205,-1.3124254,1.797274,0.08887938,-0.31263232,-0.29923964,0.8887953,-0.5009119,1.1117207,-0.32868242,0.14883263,0.23248637,-0.1837861,0.2441313,0.32142827,0.035198256,-0.18117805,-0.38402048,-0.41040242,-0.2890965,-0.103294514,-0.44485778,0.4760173,-0.15794486,-0.2472133,0.06659447,0.4361476,0.473797,-0.50109255,-0.8198351,-0.48428422,0.33026108,0.26732802,-0.07546888,0.39155972,-0.29636264,0.9850005,0.21014577,0.330153,-0.89824826,0.36205566
h.nakamura,1,0,-1.239483,1.4436655,1.1489813,-0.17459503,-1.8084606,-1.7366924,-0.8954936,1.5166306,-0.8177722,1.455436,-0.477905,1.8682954,0.80101514,-0.87107444,0.7630498,-0.68502796,-0.35638398,-1.4375026,-0.31873235,-0.21735513,1.1888052,1.271054,0.19297674,2.5935037,0.050241575,0.2062942,0.124818735,0.61386204,-0.38066956,0.70302993,-0.73210907,0.6535667,0.2777885,-0.50242776,0.34592924,-0.39457375,0.589897,-0.13582268,-0.5979316,-0.46851522,-0.38875145,-0.31255037,-0.91400945,0.28749686,0.03307146,-0.25338316,0.44052842,0.4035526,0.39716592,-0.14158565,-0.0006700307,0.58592665,0.82740974,-0.16419818,0.45228177,0.34251857
h.nakamura,1,0,-0.72378206,0.19880116,0.08418356,-0.27093837,1.150239,-0.5673228,-2.154452,-0.27749592,0.4745686,-0.44544473,0.4397443,0.12613279,-0.83367336,0.8571751,1.0061207,-0.56038624,0.5348477,-0.5564817,0.83412075,-0.72221345,0.09177123,0.6197537,-0.30611494,-0.1745064,-0.24715616,0.7256092,0.49441755,0.4358445,-0.4819829,0.030133933,-0.5790551,0.87322056,0.468757,-0.5678091,-0.061205372,-0.9267032,0.25098062,0.32699838,-0.29854345,0.5621823,-0.38288417,0.16325536,1.108727,0.034068912,0.024174482,-0.21601126,0.49777415,0.39318272,0.588274,0.3855827,0.12413427,-0.15139297,-0.21477267,-0.35883638,-0.21425949,0.3171664
