subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,-1.1574752,-0.24188566,2.28936,0.70709,-0.67152536,0.50100636,0.8446382,1.259562,-0.36744177,-2.1555634,0.7657753,0.91700894,-1.3591527,-0.7128017,-0.17063671,1.4407009,1.6024758,-0.9267338,-0.33729276,0.8561592,1.2956817,-1.4498552,3.0158234,-0.9397379,0.78648686,-0.6135988,-0.5895451,-0.049994674,0.0103659555,-0.44792,-0.5204432,0.4620342,0.41663507,0.030425966,-0.012822479,0.8735566,1.1606854,-0.043668643,-0.018060997,0.18046969,0.64280903,0.19025591,-0.50004935,0.08867226,-0.098701105,0.6621566,-0.10042629,0.5920004,-0.54495895,-0.122137845,0.536193,-0.31642145,-0.31344733,-0.5784487,-0.008591816,0.2793823
h.nakamura,1,0,-0.77101594,-0.05469145,-0.57736385,0.8636311,0.5094294,0.55664396,0.11479609,-0.5182042,-0.8246482,-0.21306807,-2.1592715,-0.45878243,-1.3253304,-0.41835868,-0.39705032,-0.71217066,0.12683307,0.29504418,0.37835675,-0.08025617,0.15506689,0.75371957,-1.0414199,0.28299084,-0.3219157,-0.043186866,-0.5824454,0.23870757,-0.19080639,-0.6976658,-0.4031113,0.034348935,0.29683307,0.6544154,-0.2560793,-0.6043438,-0.27699548,0.011080019,-0.3556411,0.04374978,0.4179707,0.29516217,-0.25588393,0.20078105,-0.30637497,-0.10155375,0.7429188,0.4430354,0.09934616,0.9325452,0.40344858,0.047790185,0.1711577,0.23095912,-0.0368748,-0.20170385
h.nakamura,1,0,-0.015839502,-0.882283,-2.7370224,0.33714527,0.4894363,0.024351269,0.4645276,-1.4120989,-1.4459871,-0.9503971,-0.98553133,1.599152,-1.2858087,-0.12543759,1.4074951,1.3217927,1.5454916,1.4713978,0.6500067,-0.11171655,1.1591812,-0.9090462,-0.020312594,1.1696026,0.5346856,-0.082405224,-0.3075528,0.40862256,0.16340357,0.32951948,0.017191708,-0.11944653,0.13482557,0.67211676,-0.20558712,0.601138,-0.17565668,-0.33892336,-0.07006021,-0.3734393,0.7822874,-0.11120789,0.62263787,0.27278605,-0.2482831,-0.11675424,-0.23848063,-0.24128403,0.06590644,-0.30207554,0.020580024,-0.6294402,-0.540688,-0.45140585,0.38403577,-0.385448
h.nakamura,1,0,-0.10938273,0.93493813,0.99421084,0.61190504,-0.30761617,-0.2861638,0.20198227,-0.2049619,-0.037500046,2.1288006,-1.0353985,0.37194267,0.6887611,-0.19808747,-2.3372362,1.1049918,0.85355043,-3.2105567,0.15926212,-0.060810253,1.115942,-0.20043667,0.07404861,-2.1080003,0.32621467,-0.695481,-0.43202332,0.6919246,-0.33583662,0.30851814,-0.5789274,-0.23127544,0.31005985,0.21810816,0.13888125,0.46461585,0.5475596,-0.26909953,0.018900111,-0.17930952,0.6959325,-0.1061558,0.13914391,0.0012231618,-0.48177627,-0.41813022,1.0756152,-0.4261291,-0.37784353,0.4626386,-0.32025263,0.3398485,0.27920327,0.75831574,1.2972952,-0.016499422
h.nakamura,1,0,0.22249126,0.041317537,1.0715356,-1.3143253,0.101964466,0.42432597,-0.21750328,-0.25323632,-0.10719669,-0.6501472,0.74359393,1.0753642,0.5426477,-0.8714262,1.1303006,-1.9015852,0.60810846,-0.25064883,-1.7415411,0.9079383,0.6683743,0.7743031,0.7696725,0.5366315,0.7615019,-0.26671714,-0.23126674,-0.74519706,-0.22476068,-0.1374973,-0.060131025,-0.20187202,-0.015403856,-0.15928535,-0.58076704,0.36290187,0.56878453,1.11313,-0.99014056,-0.79675424,0.2976071,-0.062655605,0.07036525,1.0130607,-0.52227867,0.3298919,-0.0033990145,0.3858629,0.7470257,-0.06414428,0.19911295,-0.30988356,0.103545114,-0.67190266,0.022204384,-0.17325863
h.nakamura,1,0,0.4620996,-1.1193967,-0.37607586,0.20402405,0.81345373,1.5724516,-0.99069554,-0.34246206,-1.9240968,1.1268722,-0.39099312,0.37376618,-0.009931266,0.3596717,1.5423814,1.2549934,0.3135213,0.5985416,-0.222702,0.54460675,-0.54149497,-1.0606265,0.597742,-1.0882477,0.048735686,-0.5160109,-0.2977974,0.33131656,-0.18268478,0.44210392,-0.52328044,0.049402148,0.2786378,0.13932112,0.07660627,-0.21689567,-0.22730178,0.5676286,-0.0055942237,-0.76633143,-0.05447364,-0.5349006,0.6328885,0.19863996,-0.53057474,0.10550904,0.1142097,0.16346365,0.34456247,-0.25174254,-0.42239353,0.106668845,0.25302112,-0.358156,0.14167115,-0.38025492
h.nakamura,1,0,-0.06962599,0.9510181,-0.86615956,1.256332,0.40517905,0.5232122,-0.22478159,1.2243646,-1.5097198,-1.0486071,-0.5237571,1.373255,-0.79358834,0.94711107,-1.3034109,-0.09660309,0.6071466,1.0766371,0.23744988,-0.17242055,0.36059275,-0.9626943,0.25044554,0.28969017,0.4565509,-0.14409679,-0.7308658,-0.34109542,-0.0945764,-0.2633269,-0.5011393,-0.15872918,-0.44483864,0.19574188,0.20082709,0.576383,0.48592472,0.19720416,-0.81769717,-0.8446343,0.05946818,-0.2289616,-0.35524884,-0.5417609,-1.1004047,0.37570304,0.10954133,0.19163822,0.5885775,0.14979567,0.100488916,0.55625236,-0.029316008,0.025958126,0.48603737,0.03193092
h.nakamura,1,0,2.4647543,0.12604573,1.0851542,0.9623768,0.25199926,0.966655,0.51686656,-0.024817154,0.55143917,0.21894169,-0.5316302,0.33215475,-0.49970376,-1.7599342,0.6089829,0.37093073,2.6600513,0.11997418,-0.38324413,-0.75179267,1.5286175,0.60522974,-0.000431309,-0.8656611,0.1918253,-0.9958734,0.061864,0.015355317,0.2661442,-0.43364117,-0.27671894,0.61169195,-0.07711971,0.47724882,-0.4633468,0.2770487,-0.017687052,-0.3146238,-0.5960642,-0.21876684,0.587973,-1.4807607,-0.26272273,0.23122784,0.15719792,0.11313036,0.62130153,0.42084247,-0.6948097,-0.048963502,-0.5491638,-0.2331731,0.32159388,-0.576455,0.88557154,0.34054053
h.nakamura,1,0,0.41005105,1.6322738,0.46854103,-0.0073782764,-0.12773749,-0.4602341,0.318383,2.0663834,0.25005516,-0.72644264,-0.6655848,0.6349607,0.95673937,-0.531178,-0.28934386,-0.25393194,0.06289676,-0.40826923,0.09859431,0.48566198,-0.4488745,-0.8003894,-1.2197162,-1.4613848,-0.21535408,-0.24818997,0.6872058,-0.49756783,-0.057983145,-0.88902545,0.22492176,-0.16260861,0.052672394,0.13572255,-0.01849848,0.85249066,0.8565252,0.4089181,-0.69299614,0.39145616,0.58250177,0.09147765,-0.22806793,0.14487669,0.12877184,-0.24659547,0.4712424,0.07462388,0.31236565,-0.32758927,0.40220785,-0.035756737,0.9957716,-0.35700348,0.7008394,-0.526307
h.nakamura,1,0,0.44742244,0.3745084,0.3775083,-0.6241259,-0.66500765,2.0788956,0.061249275,1.6958508,0.5591432,-0.40810212,1.9639555,0.023347367,-1.5562679,-0.053012997,-0.95622873,0.010116637,1.4698076,-0.196001,-0.2783344,-0.32859433,0.032065667,0.0050539225,0.6290232,0.08301249,-0.3822045,-0.14802551,-0.24318703,0.108848654,0.40986112,0.290374,-0.771968,-0.6202216,0.52803755,1.2023034,-0.79949856,0.6524222,0.26260448,0.004295714,0.026723102,-0.40081662,0.17062159,-0.5646558,-0.11097039,0.067413405,0.10034889,-0.27432197,-0.14586717,0.48593658,0.14308944,0.8309543,0.872771,-0.16084036,0.68866825,0.16168779,0.0005565733,0.18998843
