quantity,f_statistic,p_value,eta_squared,significance,effect_size,n_subjects,total_n
HandlePosX,37.88666320810651,1.8841818622232788e-24,0.001859326383356511,有意,無視できる,4,61020
HandlePosY,15.978509958222347,2.2177576130373124e-10,0.0007850055758560248,有意,無視できる,4,61020
HandleVelX,23.88359926810765,1.9301682503768813e-15,0.0011729178789586148,有意,無視できる,4,61020
HandleVelY,74.4104801614714,4.918452733448832e-48,0.0036452358273201366,有意,無視できる,4,61020
HandleAccX,0.0015373391041290248,0.9999168121890162,7.558700937091873e-08,非有意,無視できる,4,61020
HandleAccY,0.007131455470986975,0.9991730344448645,3.5063522537268307e-07,非有意,無視できる,4,61020
