subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,-1.0745224,-1.0053979,-2.5503588,0.12573922,0.33600932,0.98429877,1.0799928,-0.15321189,-0.06757319,0.005587995,1.1410215,0.14811042,0.65105987,0.12771152,0.602357,-0.007988729,-0.09192738,0.18457074,-0.23936284,0.2409548,1.2074219,1.6076932,-0.7102736,1.6450452,-0.4934715,-0.10359461,-0.008100757,0.25828484,-0.5686333,-0.31464607,-0.043181285,-0.09576286,0.30149013,-0.82534677,0.19903253,-0.013685927,-0.06030654,-0.06754236,0.10684922,0.1942997,0.18974584,-0.12817211,-0.013668247,0.37080777,0.5584574,0.108548924,-0.29190096,-0.7428175,-0.44164023,0.0038538333,0.21699756,-0.005593866,0.39071882,0.3600316,-0.68414825,-0.10753691
h.nakamura,1,0,0.67610556,-1.0076987,-1.5717994,-0.5443664,-2.2033927,-0.1561284,1.815907,-1.4573665,1.1542397,0.4944371,1.4201328,-1.8563044,-1.0400625,-0.9955009,-0.41436064,0.66952837,1.6149772,-0.18472818,0.8160391,-1.161971,0.5325956,-0.4037157,-0.43186557,0.069187105,-0.3131554,-0.27990103,0.3705587,0.14771146,-0.075302556,0.9496585,0.34988514,-0.09852862,0.7378291,-0.08347762,0.07111283,-0.7404872,-0.68492866,-0.46869084,-0.0700693,0.3821416,0.06649062,-0.19159813,0.3399071,0.1954161,0.040432647,0.582772,0.20493232,0.12266952,-0.043249905,0.27978858,-0.17205298,-0.16040051,0.23863919,-0.08503971,0.48113406,-0.31311876
h.nakamura,1,0,-0.6229665,-0.6211299,-0.64745027,1.2838937,-0.5280536,0.16322389,0.9212959,-0.39940482,1.1980948,0.4050315,-1.2222781,0.8524369,1.8183573,-0.637602,-0.7561678,-0.9142482,-0.69432014,1.2038679,0.7574231,-0.9362204,0.6274973,0.99999714,-0.0127515495,0.075247146,0.18423784,-0.53265107,-0.70452595,-0.22192022,-0.18377063,0.20130472,0.24228376,-0.56118834,-0.2306664,-0.17272884,-0.9612328,-0.2144272,0.1601675,-0.013309967,-0.65097845,0.22687498,0.02593028,0.1649495,-0.2568736,0.5447664,0.2019987,-0.079683565,0.085668534,0.46725726,1.0015497,-0.08220577,0.2833184,0.0442746,0.073468134,-0.04564262,-0.28392476,0.16437122
h.nakamura,1,0,-1.5816131,0.13073283,0.98305774,0.9346003,-0.1383186,-0.32669652,0.9835489,-1.6720518,1.5344902,-0.12559357,-0.63790876,1.045918,-0.38343218,-0.57989115,0.6629112,2.7021878,1.4300418,0.36299348,-0.6110411,-1.4859747,-0.3019615,0.5607594,0.53077084,-1.2457181,-0.16532427,-0.25379744,0.02148711,-0.41246668,0.41918877,0.088183485,0.17288807,0.25695068,0.7320736,-0.009530202,0.11202106,-0.34662956,-0.4742065,-0.5331687,0.5136412,0.5051702,-0.39364287,0.84535193,-0.5554248,0.3048665,-0.86275274,0.4937089,-0.03913553,0.12064995,-0.42007083,-0.11887826,0.57826686,-0.808068,-0.36986047,0.4357205,-0.0065806955,0.06875465
h.nakamura,1,0,0.64763653,0.67292774,-0.5724607,0.14343947,-0.17272356,0.08896759,-0.6233482,0.44222075,0.54280865,0.33068717,0.09297703,-1.9727768,1.2480258,-0.07470609,-1.1828728,0.02470458,1.5730971,-1.1111549,0.045937806,0.8171254,0.33644572,-0.6436926,-0.056333344,-0.8267331,-1.0233567,0.8151598,0.10609589,-0.038626686,-0.05154945,0.0394268,-0.16493703,-0.10244097,-0.13671729,0.9362116,0.01583941,0.015972197,0.24373901,0.17385282,-0.25107777,-0.23401642,0.13173386,-0.04901681,0.30836838,-0.57744193,0.18915622,0.23432967,0.21496445,0.22090258,-0.68083376,0.21240468,0.39800033,-1.3163989,0.11675918,1.0010647,-0.27461708,-0.032243595
h.nakamura,1,0,-1.4721648,-0.6432938,-0.7925726,0.28164205,2.5377243,-0.11151554,-1.2397376,-0.27766114,-0.47745794,-0.5431354,-0.042051524,1.9531904,0.049165286,1.6601441,-0.64316505,0.16515125,0.4556654,-1.7642175,0.9170665,0.7441447,-0.58965904,-0.9163642,1.215632,0.059129596,0.2639982,0.06673715,0.51663285,-0.16286398,0.31067052,0.078659296,0.54830706,0.03474989,-0.14354257,0.092707865,0.03601112,-0.5440476,0.004798215,0.3994128,-0.32199073,0.1218925,-0.40832618,-0.063557096,-0.35459998,0.26099363,-0.59538007,0.068232276,0.6064239,0.36415246,-0.5714927,-0.07504522,0.4737581,-0.43953255,0.9117986,-0.10960131,0.80005735,-0.7285618
h.nakamura,1,0,0.39770287,0.2962486,-0.47423434,1.360336,0.2519101,0.40517533,-0.44415843,-0.4690823,-0.6941957,0.30128807,0.7633467,-1.7067784,1.1382884,1.0216079,-0.14332947,1.1401525,-0.85720193,1.7289443,-0.797019,-1.8753024,1.2722813,1.134674,0.59217346,-0.87961066,0.06369514,0.028032314,-0.5943521,-0.08050518,-0.02589506,0.19929408,0.23579966,-0.10576734,0.43678486,0.36070973,-0.7637466,-0.03665237,-0.5687772,0.08966926,0.46574402,-0.71326965,-0.31523287,-0.46103045,0.326743,0.48919258,-0.3654154,0.036777813,0.47816402,0.41896734,-0.09827423,0.058787644,0.4248386,-0.06434423,0.5416066,-0.27157083,0.24921238,0.5322794
h.nakamura,1,0,-0.07673414,-0.18395452,0.61795,0.061466143,0.5796307,0.35628825,0.60036844,-0.7102983,-0.6392667,1.5626016,-1.4755831,0.34987745,0.3330806,1.4368075,-0.011068687,0.29180047,0.41932404,0.4398211,-0.9911352,0.20000471,1.1262621,0.15428518,1.5857406,0.5360482,-0.1825516,0.38728088,-0.583403,0.06057152,0.19885144,0.4544824,0.13968824,-0.52440333,0.1035794,0.06194862,0.62808615,-0.22840805,0.10474631,0.2505019,-0.44027877,-0.11815315,-0.03979496,-0.13412058,-0.6426522,-0.026606187,-0.06028806,-0.30848944,-0.88131046,0.016801775,0.26094067,0.19514103,1.5171517,-0.12387723,0.24538268,-0.06764993,0.10731076,0.2129983
h.nakamura,1,0,1.4153353,-1.7514306,-0.40918145,0.7844234,-0.89496595,0.80528355,-0.59124476,-0.124766335,-0.5562067,-0.38138425,0.19876884,-0.2173567,0.78627133,0.8708716,-0.6293495,0.20637262,-0.06554775,-2.0251935,0.9566831,-0.41110322,2.8629143,-1.1063368,-0.40506822,-1.0433598,-0.575486,0.19251496,-0.6427894,0.2135993,0.6464473,0.10039044,1.0359867,-0.32784382,0.09669539,0.05779999,0.36824155,-0.06984837,0.40586346,0.41247413,-0.25348276,-0.2712412,0.081142075,-0.08642329,-0.08928315,-0.023124896,0.022498757,-0.31002697,0.010104556,0.6419455,0.58119833,-0.30876756,0.8148907,0.5572045,-0.3787682,-0.078804374,0.71308297,-0.17412482
h.nakamura,1,0,0.9741861,-0.9915006,1.3568846,1.1490091,-1.0270445,2.4318256,1.3978637,1.8501579,1.90415,-0.8760434,-0.28047827,1.0315834,-2.0287957,-1.8428342,0.90428525,1.0300723,-0.06880814,-0.27835962,-0.5021317,-0.15051265,1.8178455,-0.46313262,-0.09177612,-1.1141895,-0.52909595,-0.2784703,-0.2847101,-0.6043793,0.3782241,-0.23188469,0.04533377,-0.2552852,0.009139508,-0.82238954,0.23710196,-0.3409862,0.24772264,0.042059857,-0.16649361,0.4651435,0.44206077,0.7563312,-0.21877933,0.017914638,0.20932373,0.27116325,0.27764934,0.28175068,0.15232211,0.29592407,0.34544522,-0.6207241,-0.6272278,0.18281874,-0.41149044,0.26276356
