subject_id,is_expert,batch_idx,z_style_dim0,z_style_dim1,z_style_dim2,z_style_dim3,z_style_dim4,z_style_dim5,z_style_dim6,z_style_dim7,z_skill_dim0,z_skill_dim1,z_skill_dim2,z_skill_dim3,z_skill_dim4,z_skill_dim5,z_skill_dim6,z_skill_dim7,z_skill_dim8,z_skill_dim9,z_skill_dim10,z_skill_dim11,z_skill_dim12,z_skill_dim13,z_skill_dim14,z_skill_dim15,z_primitive_dim0,z_primitive_dim1,z_primitive_dim2,z_primitive_dim3,z_primitive_dim4,z_primitive_dim5,z_primitive_dim6,z_primitive_dim7,z_primitive_dim8,z_primitive_dim9,z_primitive_dim10,z_primitive_dim11,z_primitive_dim12,z_primitive_dim13,z_primitive_dim14,z_primitive_dim15,z_primitive_dim16,z_primitive_dim17,z_primitive_dim18,z_primitive_dim19,z_primitive_dim20,z_primitive_dim21,z_primitive_dim22,z_primitive_dim23,z_primitive_dim24,z_primitive_dim25,z_primitive_dim26,z_primitive_dim27,z_primitive_dim28,z_primitive_dim29,z_primitive_dim30,z_primitive_dim31
h.nakamura,1,0,-0.28409308,0.77526295,-0.7450568,-0.868593,-0.27789542,0.58505666,1.5751907,0.2658981,-1.5723661,3.2332308,-0.26159966,0.011394702,0.5597902,-1.1614258,-1.0770019,-0.41471732,0.17981112,0.7217479,-0.24720225,-0.03627065,-1.5965158,0.55404836,0.41071004,-0.6885009,0.042421944,-0.020800045,0.11535332,-0.21470848,-0.2900592,0.55218977,-0.39069054,-0.43834257,-0.13660175,-0.18857667,-0.026878804,0.012270063,0.39112097,0.42600206,-0.0016804338,-0.45342436,-0.12962058,0.38039958,-0.09996835,0.4421983,-0.26640964,-0.17108744,0.25011757,0.007908786,0.39266422,-0.38267988,-0.2064305,-0.3979586,-0.41492426,0.38576293,0.43657547,0.19538987
h.nakamura,1,0,1.4310285,-0.26659873,1.1163809,-2.270626,0.22376339,-1.2932115,0.22941384,-1.5662167,1.1617243,-1.3894489,1.0571167,1.4586596,-0.38071692,-1.2977321,-0.8313484,-0.24084541,1.5036061,-0.98434895,1.8318186,0.6470952,0.83027613,0.36519042,-0.2921359,0.0007833466,-0.14254886,0.045818143,0.08533931,-0.5136045,0.748029,0.41775274,0.31227392,-0.42635232,-0.30515748,-0.1442472,-0.23065141,-0.58704996,0.08784923,0.050291568,-0.5150691,-0.4480443,-0.525952,-0.6194434,0.15707308,-0.07317614,0.17734969,0.4122707,-0.41767025,-0.0017490685,0.375274,-0.56638944,-0.27838236,0.118210234,0.06751916,0.2600618,0.41782394,0.20056203
h.nakamura,1,0,0.57813495,0.6925508,-0.5367621,0.35487515,0.911585,1.3939086,-0.7098731,-0.32537806,0.18291809,0.34040123,0.69307244,-0.72725135,-2.0606313,-0.5308132,0.72918844,-2.4443567,-0.16951436,-2.3521152,0.61327046,-0.32260028,-0.08583271,0.32000056,0.7238366,1.0208925,0.18853086,0.32693523,0.4322133,-0.34327316,-0.6647252,0.5374395,-0.12542754,-0.2613855,-0.4251579,0.49328852,-0.12275748,-0.21062665,-0.24206299,0.24609414,-0.50637645,-0.5895939,0.8799914,0.67879903,-0.5584001,-0.172715,0.077826366,0.20360151,0.35088357,0.29945424,-0.68287027,0.52927434,0.13105208,0.342682,-0.471594,-0.48822698,0.01231581,0.16086945
h.nakamura,1,0,0.6871904,-1.6358385,0.17457284,-0.13224687,-0.9116002,-1.7268833,-1.1816025,0.6044824,-0.847541,-0.17496434,1.4715515,-0.33394596,0.68448424,-1.1807567,-1.7762778,-1.1039134,-0.53827184,0.7661755,-0.023156844,0.11463635,1.635744,-0.59970003,1.2548681,-0.6786001,-0.11553924,-0.5005343,-0.57142603,-0.015855446,0.35659444,0.41459402,-0.7975427,0.19662148,-0.037578367,0.2429107,-0.34373772,-1.1235833,0.3787189,0.63465637,0.0061466247,-0.045341987,0.2965614,-0.09315367,0.09777382,-0.047290906,-0.037051775,0.073420934,0.27289176,0.041279525,0.7090335,-0.66462845,0.36074626,-0.02229409,0.7852569,-0.18821867,0.18269207,-0.09330958
h.nakamura,1,0,-1.083615,0.83464164,1.3816662,-1.2796929,0.1572569,1.052632,1.613064,-1.3537492,1.0667268,-0.5004036,-0.829581,0.6935612,0.43460357,-0.7558782,0.26770243,0.673842,-0.6925906,1.0620157,-1.7203982,-0.58768976,-0.0012990087,-0.32299247,0.92097235,0.16539796,1.1752491,-0.7143483,0.37422287,-0.7658054,-0.26180327,-0.08950436,0.027165838,0.95217353,-0.068758525,0.6005116,-0.84300333,-0.18746477,0.5102869,0.7849164,-0.3305894,0.22694054,-0.18866736,0.57962537,-0.46252966,0.5341308,-0.60790884,-0.260236,-0.06433799,-0.44771641,-0.85217285,-0.24187389,0.30259413,0.53666466,-0.30478084,0.5675952,0.21300025,-0.5201659
h.nakamura,1,0,-0.46430466,-0.6127241,-0.67563736,1.4823842,-0.10686662,-0.61030734,-0.13247176,1.517642,0.5579493,-0.41487977,-0.80965436,1.0254567,0.7923135,-0.095766336,-0.12918966,-1.4714262,1.4991493,-0.48404664,0.77671474,-0.86234397,-0.5325034,-1.2636557,0.8223612,-0.29865584,-0.49586406,0.287279,0.11002423,0.046940356,-0.30838287,0.48705643,0.28595808,0.43705684,-0.30046406,0.34322265,-0.33613178,-0.49242765,0.5032848,0.38525265,0.0063533336,-0.5000212,0.11373587,0.74103725,0.56166315,-0.55422044,0.06654334,-0.6859083,0.3672323,-0.19339938,0.33744884,-0.18490037,-0.07816968,-0.24740407,-0.0024719033,0.048446715,0.7477956,0.61290157
h.nakamura,1,0,0.6189386,0.4747604,0.002083078,1.3675811,-0.21724857,1.9380543,0.23332709,-0.5516292,-0.06031613,-0.18247563,-0.26082206,1.384917,-0.7667766,-1.0111051,-1.3567822,0.9286659,-0.0026930086,-0.91759527,-0.04178445,0.12499869,0.51052505,-0.62064445,0.2993772,0.7929164,-0.2504284,0.18572004,-0.0030873418,0.1740409,-0.026911765,-0.39038092,0.35047686,0.8256343,-0.6728715,0.42437327,-1.0714697,-0.14466365,0.25153866,-0.43684167,-0.57355523,0.4442293,0.22048287,0.31461453,0.014365852,0.4595199,0.51387125,-0.1182699,0.17926465,-0.1730475,-0.30735284,-0.35212928,-0.37510514,-0.08387304,-0.1166777,-0.36303806,0.33617646,0.8005464
h.nakamura,1,0,-0.16600212,-0.84477574,-0.6525969,1.158826,-0.06911258,1.988945,0.68152505,-0.49008036,-0.31768844,-0.26927045,-0.6130653,-0.83920515,1.2620015,0.019626549,0.17423268,-1.1967411,-2.1783466,0.64871323,0.59935313,1.1290423,0.89142,-1.0388628,-0.12756406,-0.5546152,-0.43019935,-0.12032684,-0.1648449,-0.09130023,0.22409402,0.5423862,-0.74117506,0.22162724,0.1600386,-0.23157808,-0.09461258,-0.8152497,0.4621806,0.2678572,-0.34178203,-0.08517596,1.0792189,-0.25370565,0.29737595,-0.44927114,0.447678,-0.028662726,0.44983438,-0.056762904,0.116233,-0.14953296,-0.15389869,-0.26151994,0.13012266,0.06441511,0.74602187,0.3648502
h.nakamura,1,0,-0.07855725,-0.22822717,1.1052209,2.1552372,1.1001954,0.76586986,1.5995783,2.0434525,0.23316246,0.59969527,1.9561719,1.3511319,1.4814603,-0.37745348,0.011146335,0.8309673,0.88793683,-0.27621904,1.2583643,2.0568717,0.5138025,0.8443247,0.43915355,0.5905267,0.34788498,-0.8181484,0.21444345,-0.2126409,-0.24001783,-0.30482352,-0.45110613,0.4135489,-0.48430163,0.15252262,0.38530743,-0.15480556,0.24735095,0.044451877,-0.54063207,-0.042355932,0.22131145,-0.63898003,-0.3509147,0.21619962,0.1445703,0.071886055,-0.7277802,-0.2539991,-0.34756726,-0.54450727,-0.72089213,0.16161567,-0.1437981,-0.1057087,0.08026226,0.6702689
h.nakamura,1,0,-0.11351772,1.47167,0.98737526,2.291713,-0.21308559,-1.0908588,-1.2770711,-0.41255614,0.1367576,-1.1039124,1.1329565,-0.27445993,0.3814209,0.096871465,-1.2172596,-0.15094858,-0.2103208,1.5060098,-0.39884114,0.60517216,0.7532974,1.1841581,0.9357532,-0.83325493,-0.14577574,-0.064403035,-0.10917178,0.3739411,0.3422499,0.56446314,0.11266626,0.6653025,0.14131765,0.23620838,-1.1084801,-0.017331094,0.8858386,0.41761386,0.49494594,0.3798909,0.0031530857,0.5409063,0.032487184,-0.07332906,-0.34025976,-0.45001906,-0.1591726,-0.6137254,-0.23238468,-0.38370177,-0.016602457,-0.8535466,-0.5707176,-0.031222269,0.1072799,-0.12766406
