quantity,f_statistic,p_value,eta_squared,significance,effect_size,n_subjects,total_n
HandlePosX,37.88666320810653,1.8841818622232788e-24,0.0018593263833657204,有意,無視できる,4,61020
HandlePosY,15.978509958222347,2.2177576130373124e-10,0.000785005575850266,有意,無視できる,4,61020
HandleVelX,23.883599268107638,1.9301682503768813e-15,0.00117291787895865,有意,無視できる,4,61020
HandleVelY,74.41048016147141,4.918452733448832e-48,0.0036452358273198443,有意,無視できる,4,61020
HandleAccX,0.0015373391041290296,0.9999168121890162,7.558700937092718e-08,非有意,無視できる,4,61020
HandleAccY,0.0071314554709869995,0.9991730344448645,3.506352253727161e-07,非有意,無視できる,4,61020
