quantity,original_p,scaled_p,p_ratio,original_eta2,scaled_eta2,eta2_ratio,significance_change
HandleAccY,0.9991730344448645,0.9991730344448645,1.0,3.506352253727161e-07,3.5063522537268307e-07,0.9999999999999057,非有意 → 非有意
HandlePosY,2.2177576130373124e-10,2.2177576130373124e-10,1.0,0.000785005575850266,0.0007850055758560248,1.0000000000073361,有意 → 有意
HandlePosX,1.8841818622232788e-24,1.8841818622232788e-24,1.0,0.0018593263833657204,0.001859326383356511,0.9999999999950469,有意 → 有意
HandleVelY,4.918452733448832e-48,4.918452733448832e-48,1.0,0.0036452358273198443,0.0036452358273201366,1.0000000000000802,有意 → 有意
HandleAccX,0.9999168121890162,0.9999168121890162,1.0,7.558700937092718e-08,7.558700937091873e-08,0.9999999999998881,非有意 → 非有意
HandleVelX,1.9301682503768813e-15,1.9301682503768813e-15,1.0,0.00117291787895865,0.0011729178789586148,0.9999999999999699,有意 → 有意
